# ATOK Passport 変換改善履歴から抽出した unigram 専用辞書。
# 471 unique (読み, 表記) pairs from the saved ATOK archives.
# Format: 読み\tleftId\trightId\tcost\t表記
# Existing exact pairs are loaded for audit but Main.kt de-duplicates them before building.
# ATOK HTML has no Mozc POS/cost metadata. New entries use matching metadata when available;
# otherwise 名詞,一般 (1851/1851) and cost 9000 are used conservatively.

# かわぼ -> カワボ (existing metadata)
# べたうち -> ベタ打ち (existing metadata)
べたうち	1851	1949	7976	ベタ打ち
# べたおき -> ベタ置き (noun fallback)
べたおき	1851	1851	9000	ベタ置き
# べっぱん -> 別班 (same surface metadata)
べっぱん	1851	1949	9000	別班
# ほうでい -> 放デイ (noun fallback)
ほうでい	1851	1851	9000	放デイ
# ほかんす -> ホカンス (existing metadata)
ほかんす	1851	1851	7156	ホカンス
# ほわはら -> ホワハラ (existing metadata)
ほわはら	1851	1851	4000	ホワハラ
# ぼいれこ -> ボイレコ (existing metadata)
ぼいれこ	1851	1851	8217	ボイレコ
# まるこげ -> 丸焦げ (noun fallback)
まるこげ	1851	1851	9000	丸焦げ
# まるはら -> マルハラ (same reading metadata)
まるはら	1923	1923	9000	マルハラ
# むきさい -> 無記載 (existing metadata)
むきさい	2627	1841	4334	無記載
# むりくり -> 無理くり (existing metadata)
むりくり	1931	1851	5926	無理くり
# もぺっど -> モペッド (existing metadata)
もぺっど	1851	1851	7847	モペッド
# ようむち -> 用務地 (noun fallback)
ようむち	1851	1851	9000	用務地
# よせばし -> 寄せ箸 (noun fallback)
よせばし	1851	1851	9000	寄せ箸
# らくはん -> 落版 (same reading metadata)
らくはん	1851	1851	9000	落版
# りせきじ -> 離席時 (existing metadata)
りせきじ	1841	2007	7934	離席時
# りふぁい -> ReFi (noun fallback)
りふぁい	1851	1851	9000	ReFi
# わきあげ -> 沸き上げ (noun fallback)
わきあげ	1851	1851	9000	沸き上げ
# あかざえび -> あかざえび (noun fallback)
あかざえび	1851	1851	9000	あかざえび
# あかざえび -> アカザエビ (noun fallback)
あかざえび	1851	1851	9000	アカザエビ
# あかざえび -> 藜海老 (noun fallback)
あかざえび	1851	1851	9000	藜海老
# あかねさす -> 茜さす (noun fallback)
あかねさす	1851	1851	9000	茜さす
