∪	すうがく きゃっぷ かっぷ おあ しゅうごう けいさん U きごう わしゅうごう
∩	すうがく きゃっぷ かっぷ あんど しゅうごう けいさん きごう せきしゅうごう
∧	すうがく かつ および あんど しゅうごう けいさん ^ きごう
∨	すうがく または おあ しゅうごう けいさん V きごう
¬	すうがく のっと ひてい しゅうごう けいさん きごう
⇒	すうがく やじるし みぎや -> ならば けいさん => きごう →
⇔	すうがく やじるし <-> どうち けいさん <=> きごう
∀	すうがく すべて すべての たーんえー けいさん A きごう たーんA
∃	すうがく そんざい けいさん E きごう
∠	すうがく かく けいさん きごう
⊥	すうがく すいちょく けいさん きごう かく
⊿	すうがく さんかく さんかくけい とらいあんぐる けいさん でるた ちょっかくさんかく ちょっかくさんかくけい きごう
⌒	すうがく こ けいさん きごう
∂	すうがく けいさん きごう へんびぶん らうんど でる
∇	すうがく なぶら けいさん きごう
∆	でるた ぞうぶん らぷらしあん
≡	すうがく ごうどう けいさん = きごう
≒	すうがく やく きんじ いこーる = けいさん きごう とうごう
≪	ふとうごう しょうなり すうがく けいさん << きごう
≫	ふとうごう だいなり すうがく けいさん >> きごう
√	るーと へいほうこん すうがく けいさん きごう こんごう sqrt
∛	さんじょうこん りっぽうこん こんごう cbrt
∜	よんじょうこん こんごう qdrt
∽	すうがく そうじ けいさん きごう
∝	すうがく ひれい けいさん きごう
∵	すうがく なぜならば けいさん きごう さんかく てん
∫	すうがく いんてぐらる せきぶん けいさん きごう
∬	すうがく いんてぐらる せきぶん にじゅうせきぶん けいさん きごう
⊕	すうがく ちょくわ えっくすおあ けいさん + きごう
∅	すうがく くうしゅうごう きごう
ℕ	すうがく しぜんすう きごう
ℤ	すうがく せいすう きごう
ℚ	すうがく ゆうりすう きごう
ℝ	すうがく じっすう きごう
ℂ	すうがく ふくそすう きごう
Å	おんぐすとろーむ たんい A きごう
‰	ぱーみる たんい きごう
♯	しゃーぷ おんがく # きごう
♭	ふらっと おんがく きごう
♪	おんぷ おんがく きごう
♫	おんぷ おんがく きごう
♬	おんぷ おんがく きごう
♮	なちゅらる おんがく きごう
†	だがー きごう
‡	だぶるだがー だがー きごう
◯	まる しろまる きごう
Α	ぎりしゃ あるふぁ
Β	ぎりしゃ べーた
Γ	ぎりしゃ がんま がんまー
Δ	ぎりしゃ でるた
Ε	ぎりしゃ いぷしろん
Ζ	ぎりしゃ ぜーた つぇーた じーた
Η	ぎりしゃ いーた えーた
Θ	ぎりしゃ しーた てーた
Ι	ぎりしゃ いおた
Κ	ぎりしゃ かっぱ
Λ	ぎりしゃ らむだ
Μ	ぎりしゃ みゅー
Ν	ぎりしゃ にゅー
Ξ	ぎりしゃ くさい くしい くしー ぐざい
Ο	ぎりしゃ おみくろん
Π	ぎりしゃ ぱい
Ρ	ぎりしゃ ろー
Σ	ぎりしゃ しぐま
Τ	ぎりしゃ たう
Υ	ぎりしゃ ゆぷしろん いぷしろん うぷしろん
Φ	ぎりしゃ ふぁい
Χ	ぎりしゃ かい
Ψ	ぎりしゃ ぷさい ぷしー
Ω	ぎりしゃ おめが おーむ
α	ぎりしゃ あるふぁ
β	ぎりしゃ べーた
γ	ぎりしゃ がんま がんまー
δ	ぎりしゃ でるた
ε	ぎりしゃ いぷしろん
ζ	ぎりしゃ ぜーた つぇーた じーた
η	ぎりしゃ いーた えーた
θ	ぎりしゃ しーた てーた
ι	ぎりしゃ いおた
κ	ぎりしゃ かっぱ
λ	ぎりしゃ らむだ
μ	ぎりしゃ みゅー まいくろ みくろん
ν	ぎりしゃ にゅー
ξ	ぎりしゃ くさい くしい くしー ぐざい
ο	ぎりしゃ おみくろん
π	ぎりしゃ ぱい
ρ	ぎりしゃ ろー
σ	ぎりしゃ しぐま
ς 	ぎりしゃ しぐま
τ	ぎりしゃ たう
υ	ぎりしゃ ゆぷしろん いぷしろん うぷしろん
φ	ぎりしゃ ふぁい
χ	ぎりしゃ かい
ψ	ぎりしゃ ぷさい ぷしー
ω	ぎりしゃ おめが おーむ
А	きりる ろしあ あー
Б	きりる ろしあ べー
В	きりる ろしあ ゔぇー
Г	きりる ろしあ げー
Д	きりる ろしあ でー
Е	きりる ろしあ いぇー ぃえー
Ё	きりる ろしあ よー ぃよー
Ж	きりる ろしあ じぇー
З	きりる ろしあ ぜー ぜぇー
И	きりる ろしあ いー
Й	きりる ろしあ いー
К	きりる ろしあ かー
Л	きりる ろしあ える
М	きりる ろしあ えむ
Н	きりる ろしあ えぬ
О	きりる ろしあ おー
П	きりる ろしあ ぺー
Р	きりる ろしあ える
С	きりる ろしあ えす
Т	きりる ろしあ てー
У	きりる ろしあ うー
Ф	きりる ろしあ えふ ふぃたー
Х	きりる ろしあ はー
Ц	きりる ろしあ つぇー
Ч	きりる ろしあ ちぇー
Ш	きりる ろしあ しゃー
Щ	きりる ろしあ しちゃー ししゃー
Ъ	きりる ろしあ
Ы	きりる ろしあ うぃ
Ь	きりる ろしあ
Э	きりる ろしあ えー
Ю	きりる ろしあ ゆー
Я	きりる ろしあ やー
а	きりる ろしあ あー
б	きりる ろしあ べー
в	きりる ろしあ ゔぇー
г	きりる ろしあ げー
д	きりる ろしあ でー
е	きりる ろしあ いぇー ぃえー
ё	きりる ろしあ よー ぃよー
ж	きりる ろしあ じぇー
з	きりる ろしあ ぜー ぜぇー
и	きりる ろしあ いー
й	きりる ろしあ いー
к	きりる ろしあ かー
л	きりる ろしあ える
м	きりる ろしあ えむ
н	きりる ろしあ えぬ
о	きりる ろしあ おー
п	きりる ろしあ ぺー
р	きりる ろしあ える
с	きりる ろしあ えす
т	きりる ろしあ てー
у	きりる ろしあ うー
ф	きりる ろしあ えふ ふぃたー
х	きりる ろしあ はー
ц	きりる ろしあ つぇー
ч	きりる ろしあ ちぇー
ш	きりる ろしあ しゃー
щ	きりる ろしあ しちゃー ししゃー
ъ	きりる ろしあ
ы	きりる ろしあ うぃ うい
ь	きりる ろしあ
э	きりる ろしあ えー
ю	きりる ろしあ ゆー
я	きりる ろしあ やー
─	けいせん ほそわく よこ
│	けいせん ほそわく たて
┌	けいせん ほそわく ひだりうえ
┐	けいせん ほそわく みぎうえ
┘	けいせん ほそわく みぎした
└	けいせん ほそわく ひだりした
├	けいせん
┬	けいせん ほそわく
┤	けいせん
┴	けいせん ほそわく
┼	けいせん まんなか
━	けいせん ふとわく よこ
┃	けいせん ふとわく たて
┏	けいせん ふとわく ひだりうえ
┓	けいせん ふとわく みぎうえ
┛	けいせん ふとわく みぎした
┗	けいせん ふとわく ひだりした
┣	けいせん
┳	けいせん ふとわく
┫	けいせん
┻	けいせん ふとわく
╋	けいせん まんなか
┠	けいせん
┯	けいせん
┨	けいせん
┷	けいせん
┿	けいせん まんなか
┝	けいせん
┰	けいせん
┥	けいせん
┸	けいせん
╂	けいせん まんなか
№	なんばー no NO
℡	でんわ tel TEL
☏	でんわ
☎	でんわ
☖	しょうぎ ごて
☗	しょうぎ せんて
⛉	しょうぎ
⛊	しょうぎ
♤	すぺーど
♠	すぺーど
♡	はーと
♥	はーと
♢	だいや ひしがた ひし
♦	だいや ひしがた ひし
♧	くらぶ くろーばー みつば
♣	くらぶ くろーばー みつば
♨	おんせん
☠	どくろ がいこつ どくぶつ
☡	こーしょん ちゅうい
☢	ほうしゃのう
☣	ばいおはざーど
☤	かどぅけうす けりゅけいおん
☥	あんく
☯	いんよう いんやん
☰	はっけ
☱	はっけ
☲	はっけ
☳	はっけ
☴	はっけ
☵	はっけ
☶	はっけ
☷	はっけ
☸	ほうりん
☿	すいせい せんせいじゅつ
♁	ちきゅう せんせいじゅつ
♃	もくせい せんせいじゅつ
♄	どせい せんせいじゅつ
♅	てんのうせい せんせいじゅつ
♆	かいおうせい せんせいじゅつ
♇	めいおうせい せんせいじゅつ
♈	せいざ おひつじざ
♉	せいざ おうしざ
♊	せいざ ふたござ
♋	せいざ かにざ
♌	せいざ ししざ
♍	せいざ おとめざ
♎	せいざ てんびんざ
♏	せいざ さそりざ
♐	せいざ いてざ
♑	せいざ やぎざ
♒	せいざ みずがめざ
♓	せいざ うおざ
☹	かおもじ むむ :(
☺	えがお かおもじ にこにこ :)
☻	えがお かおもじ にこにこ :)
☐	ちぇっくぼっくす
☑	ちぇっく ちぇっくぼっくす
☒	ちぇっく ちぇっくぼっくす ばつ ぺけ
☓	ちぇっく ばつ ぺけじ ぺけ ななめじゅうじ
✓	ちぇっく きごう
✔	ちぇっく きごう
♲	りさいくる
♺	りさいくる
♻	りさいくる
♼	りさいくる
♽	りさいくる
♿	くるまいす
⚀	さいころ さいころ1 1
⚁	さいころ さいころ2 2
⚂	さいころ さいころ3 3
⚃	さいころ さいころ4 4
⚄	さいころ さいころ5 5
⚅	さいころ さいころ6 6
⚖	てんびん
⚙	はぐるま ぎあ
⚠	ちゅうい けいこく
⚰	かんおけ
🀀	まーじゃん まーじゃんぱい ふぉんぱい ふうぱい とん
🀁	まーじゃん まーじゃんぱい ふぉんぱい ふうぱい なん
🀂	まーじゃん まーじゃんぱい ふぉんぱい ふうぱい しゃー
🀃	まーじゃん まーじゃんぱい ふぉんぱい ふうぱい ぺい ぺー
🀄︎	まーじゃん まーじゃんぱい さんげんぱい ほんちゅん ふぉんちゅん ほんちゅー ちゅん
🀅	まーじゃん まーじゃんぱい さんげんぱい りゅうふぁ りゅーふぁ りゅーふぁー はつ
🀆	まーじゃん まーじゃんぱい さんげんぱい ぱいぱん はく
🀇	まーじゃん まーじゃんぱい まんず わんず いーまん いーわん
🀈	まーじゃん まーじゃんぱい まんず わんず りゃんまん りゃんわん
🀉	まーじゃん まーじゃんぱい まんず わんず さんまん さんわん
🀊	まーじゃん まーじゃんぱい まんず わんず すーまん すーわん
🀋	まーじゃん まーじゃんぱい まんず わんず うーまん うーわん
🀌	まーじゃん まーじゃんぱい まんず わんず ろーまん ろーわん
🀍	まーじゃん まーじゃんぱい まんず わんず ちーまん ちーわん
🀎	まーじゃん まーじゃんぱい まんず わんず ぱーまん ぱーわん
🀏	まーじゃん まーじゃんぱい まんず わんず きゅーまん きゅーわん きゅうまん きゅうわん ちゅーまん ちゅーわん
🀐	まーじゃん まーじゃんぱい そーず いーそー
🀑	まーじゃん まーじゃんぱい そーず りゃんそー
🀒	まーじゃん まーじゃんぱい そーず さんそー
🀓	まーじゃん まーじゃんぱい そーず すーそー
🀔	まーじゃん まーじゃんぱい そーず うーそー
🀕	まーじゃん まーじゃんぱい そーず ろーそー
🀖	まーじゃん まーじゃんぱい そーず ちーそー
🀗	まーじゃん まーじゃんぱい そーず ぱーそー
🀘	まーじゃん まーじゃんぱい そーず きゅーそー きゅうそー ちゅーそー
🀙	まーじゃん まーじゃんぱい ぴんず いーぴん
🀚	まーじゃん まーじゃんぱい ぴんず りゃんぴん
🀛	まーじゃん まーじゃんぱい ぴんず さんぴん
🀜	まーじゃん まーじゃんぱい ぴんず すーぴん
🀝	まーじゃん まーじゃんぱい ぴんず うーぴん
🀞	まーじゃん まーじゃんぱい ぴんず ろーぴん
🀟	まーじゃん まーじゃんぱい ぴんず ちーぴん
🀠	まーじゃん まーじゃんぱい ぴんず ぱーぴん
🀡	まーじゃん まーじゃんぱい ぴんず きゅーぴん きゅうぴん ちゅーぴん
🀢	まーじゃん まーじゃんぱい うめ
🀣	まーじゃん まーじゃんぱい らん
🀤	まーじゃん まーじゃんぱい たけ
🀥	まーじゃん まーじゃんぱい きく
🀦	まーじゃん まーじゃんぱい はる
🀧	まーじゃん まーじゃんぱい なつ
🀨	まーじゃん まーじゃんぱい あき
🀩	まーじゃん まーじゃんぱい ふゆ
🀪	まーじゃん まーじゃんぱい ぱいたー じょーかー
🀫	まーじゃん まーじゃんぱい まーじゃんうら
🂠	とらんぷ とらんぷうら
🂡	とらんぷ すぺーどA すぺーど1 すぺーどえーす
🂢	とらんぷ すぺーど2
🂣	とらんぷ すぺーど3
🂤	とらんぷ すぺーど4
🂥	とらんぷ すぺーど5
🂦	とらんぷ すぺーど6
🂧	とらんぷ すぺーど7
🂨	とらんぷ すぺーど8
🂩	とらんぷ すぺーど9
🂪	とらんぷ すぺーど10
🂫	とらんぷ すぺーどJ すぺーど11 すぺーどじゃっく
🂬	すぺーどC すぺーどないと かばろ すぺーどかばろ 
🂭	とらんぷ すぺーどQ すぺーど12 すぺーどくいーん
🂮	とらんぷ すぺーどK すぺーど13 すぺーどきんぐ
🂱	とらんぷ はーとA はーと1 はーとえーす
🂲	とらんぷ はーと2
🂳	とらんぷ はーと3
🂴	とらんぷ はーと4
🂵	とらんぷ はーと5
🂶	とらんぷ はーと6
🂷	とらんぷ はーと7
🂸	とらんぷ はーと8
🂹	とらんぷ はーと9
🂺	とらんぷ はーと10
🂻	とらんぷ はーとJ はーと11 はーとじゃっく
🂼	はーとC はーとないと かばろ はーとかばろ
🂽	とらんぷ はーとQ はーと12 はーとくいーん
🂾	とらんぷ はーとK はーと13 はーときんぐ
🃁	とらんぷ だいやA だいや1 だいやえーす
🃂	とらんぷ だいや2
🃃	とらんぷ だいや3
🃄	とらんぷ だいや4
🃅	とらんぷ だいや5
🃆	とらんぷ だいや6
🃇	とらんぷ だいや7
🃈	とらんぷ だいや8
🃉	とらんぷ だいや9
🃊	とらんぷ だいや10
🃋	とらんぷ だいやJ だいや11 だいやじゃっく
