清談	せいだん
青天の霹靂	せいてんのへきれき
積善の家に余慶あり	せきぜんのいえによけいあり
折角	せっかく
折檻	せっかん
背に腹は替えられぬ	せにはらはかえられぬ
前車の覆るは後車の戒め	ぜんしゃのくつがえるはこうしゃのいましめ
前車の轍	ぜんしゃのてつ
栴檀は二葉より芳し	せんだんはふたばよりかんばし
船頭多くして船山に登る	せんどうおおくしてふねやまにのぼる
善は急げ	ぜんはいそげ
滄海の一粟	そうかいのいちぞく
喪家の狗	そうかのいぬ
宋襄の仁	そうじょうのじん
総領の甚六	そうりょうのじんろく
俎上の魚	そじょうのうお
袖振り合うも多生の縁	そでふりあうもたしょうのえん
大海は芥を択ばず	たいかいはあくたをえらばず
大疑は大悟の基	たいぎはたいごのもと
大器晩成	たいきばんせい
大賢は愚なるが如し	たいけんはぐなるがごとし
太公望	たいこうぼう
大山鳴動して鼠一匹	たいざんめいどうしてねずみいっぴき
大事の前の小事	だいじのまえのしょうじ
鯛の尾より鰯の頭	たいのおよりいわしのあたま
大は小を兼ねる	だいはしょうをかねる
大勇は闘わず	たいゆうはたたかわず
大欲は無欲に似たり	たいよくはむよくににたり
宝の持ち腐れ	たからのもちぐされ
多岐亡羊	たきぼうよう
多芸は無芸	たげいはむげい
竹屋の火事	たけやのかじ
竹薮に矢を射る	たけやぶにやをいる
他山の石	たざんのいし
多勢に無勢	たぜいにぶぜい
蛇足	だそく
多々益々弁ず	たたますますべんず
畳の上の水練	たたみのうえのすいれん
ただより高いものは無い	ただよりたかいものはない
立つ鳥跡を濁さず	たつとりあとをにごさず
立て板に水	たていたにみず
蓼食う虫も好き好き	たでくうむしもすきずき
棚から牡丹餅	たなからぼたもち
他人の疝気を頭痛に病む	たにんのせんきをずつうにやむ
旅の恥は掻き捨て	たびのはじはかきすて
旅は道連れ世は情	たびはみちづれよはなさけ
卵に目鼻	たまごにめはな
玉に瑕	たまにきず
短気は損気	たんきはそんき
知音	ちいん
池魚の災い	ちぎょのわざわい
竹馬の友	ちくばのとも
血で血を洗う	ちでちをあらう
茶腹も一時	ちゃばらもいっとき
忠言は耳に逆らう	ちゅうげんはみみにさからう
朝三暮四	ちょうさんぼし
提灯に釣鐘	ちょうちんにつりがね
朝令暮改	ちょうれいぼかい
塵も積もれば山となる	ちりもつもればやまとなる
月と鼈	つきとすっぽん
月に叢雲、花に風	つきにむらくも、はなにかぜ
月夜に釜を抜かれる	つきよにかまをぬかれる
月夜に提灯	つきよにちょうちん
土一升に金一升	つちいっしょうにかねいっしょう
角を矯めて牛を殺す	つのをためてうしをころす
爪に火を灯す	つめにひをともす
爪の垢を煎じて飲む	つめのあかをせんじてのむ
鶴の一声	つるのひとこえ
鶴は千年亀は万年	つるはせんねんかめはまんねん
聾の早耳	つんぼのはやみみ
庭訓	ていきん・ていくん
亭主の好きな赤烏帽子	ていしゅのすきなあかえぼし
泥中の蓮	でいちゅうのはちす
敵は本能寺に在り	てきはほんのうじにあり
梃子でも動かない	てこでもうごかない
手鍋を提げる	てなべをさげる
出る杭は打たれる	でるくいはうたれる
天衣無縫	てんいむほう
椽大の筆	てんだいのふで
天高く馬肥ゆる	てんたかくうまこゆる
天に唾する	てんにつばする
天馬空を行く	てんばくうをゆく
天は二物を与えず	てんはにぶつをあたえず
天は自ら助くる者を助く	てんはみずからたすくるものをたすく
灯台下暗し	とうだいもとくらし
問うに落ちず語るに落つ	とうにおちずかたるにおつ
豆腐に鎹	とうふにかすがい
東奔西走	とうほんせいそう
桃李言わざれども下自ずから蹊を成す	とうりいわざれどもしたおのずからけいをなす
登竜門	とうりゅうもん
十日の菊	とおかのきく
遠くの親類より近くの他人	とおくのしんるいよりちかくのたにん
時は金なり	ときはかねなり
読書百遍意自ずから通ず	どくしょひゃっぺんいおのずからつうず
毒を食らわば皿まで	どくをくらわばさらまで
毒を以って毒を制す	どくをもってどくをせいす
所変われば品変わる	ところかわればしなかわる
年には勝てぬ	としにはかてぬ
年寄りの冷や水	としよりのひやみず
図南	となん
斗南の一人	となんのいちにん
駑馬に鞭打つ	どばにむちうつ
鳶が鷹を生む	とんびがたかをうむ
飛ぶ鳥を落とす	とぶとりをおとす
虎の威を借る狐	とらのいをかるきつね
虎は死して皮を残す	とらはししてかわをのこす
鳥無き里の蝙蝠	とりなきさとのこうもり
泥棒を見て縄を綯う	どろぼうをみてなわをなう
どんぐりの背比べ	どんぐりのせいくらべ
無い袖は振れない	ないそではふれない
泣いて馬謖を斬る	ないてばしょくをきる
長い物には巻かれろ	ながいものにはまかれろ
泣き面に蜂	なきつらにはち
泣く子と地頭には勝てぬ	なくことじとうにはかてぬ
情けは人の為ならず	なさけはひとのためならず
七重の膝を八重に折る	ななえのひざをやえにおる
名は体を表わす	なはたいをあらわす
怠け者の節句働き	なまけもののせっくばたらき
蛞蝓に塩	なめくじにしお
名を取るより実を取れ	なをとるよりじつをとれ
南柯の夢	なんかのゆめ
煮え湯を飲まされる	にえゆをのまされる
二階から目薬	にかいからめぐすり
逃がした魚は大きい	のがしたさかなはおおきい
苦虫を噛み潰す	にがむしをかみつぶす
憎まれっ子世に憚る	にくまれっこよにはばかる
錦を衣て夜行くが如し	にしきをきてよるゆくがごとし
二豎	にじゅ
似たもの夫婦	にたものふうふ
二度あることは三度ある	にどあることはさんどある
二兎を追う者は一兎をも得ず	にとをおうものはいっともえず
女房は変えるほど悪くなる	にょうぼうはかえるほどわるくなる
女房は質に置いても朝酒は止められぬ	にょうぼうはしちにおいてもあさざけはやめられぬ
糠に釘	ぬかにくぎ
盗人に追い銭	ぬすっとにおいせん
濡れ手で粟	ぬれてであわ
猫に小判	ねこにこばん
猫の手も借りたい	ねこのてもかりたい
猫を被る	ねこをかぶる
嚢中の錐	のうちゅうのきり
残り物には福がある	のこりものにはふくがある
喉元過ぎれば熱さを忘れる	のどもとすぎればあつさをわすれる
暖簾に腕押し	のれんにうでおし
背水の陣	はいすいのじん
掃き溜めに鶴	はきだめにつる
破鏡	はきょう
白眼	はくがん
白玉楼	はくぎょくろう
白眉	はくび
破天荒	はてんこう
花は桜木人は武士	はなはさくらぎひとはぶし
花より団子	はなよりだんご
早起きは三文の徳	はやおきはさんもんのとく
腹も身の内	はらもみのうち
張子の虎	はりこのとら
引かれ者の小唄	ひかれもののこうた
髭の塵を払う	ひげのちりをはらう
庇を貸して母屋を取られる	ひさしをかしておもやをとられる
尾生の信	びせいのしん
顰に効う	ひそみにならう
人を呪わば穴二つ	ひとをのろわばあなふたつ
髀肉之嘆	ひにくのたん
火のないところに煙は立たぬ	ひのないところにけむりはたたぬ
百聞は一見に如かず	ひゃくぶんはいっけんにしかず
瓢箪から駒	ひょうたんからこま
瓢箪鯰	ひょうたんなまず
風声鶴唳	ふうせいかくれい
風前の灯し火	ふうぜんのともしび
笛吹けども踊らず	ふえふけどもおどらず
覆水盆に反らず	ふくすいぼんにかえらず
武士は食わねど高楊枝	ぶしはくわねどたかようじ
豚に真珠	ぶたにしんじゅ
舟に刻みて剣を求む	ふねにきざみてけんをもとむ
武陵桃源	ぶりょうとうげん
焚書坑儒	ふんしょこうじゅ
臍が茶を沸かす	へそがちゃをわかす
下手の考え休むに似たり	へたのかんがえやすむににたり
下手の横好き	へたのよこずき
弁慶の立ち往生	べんけいのたちおうじょう
弁慶の泣き所	べんけいのなきどころ
望蜀	ぼうしょく
坊主憎けりゃ袈裟まで憎い	ぼうずにくけりゃけさまでにくい
墨守	ぼくしゅ
仏作って魂入れず	ほとけつくってたましいいれず
仏の顔も三度	ほとけのかおもさんど
蒔かぬ種は生えぬ	まかぬたねははえぬ
馬子にも衣装	まごにもいしょう
眉毛を読まれる	まゆげをよまれる
眉に唾を塗る	まゆにつばをぬる
眉に火が付く	まゆにひがつく
真綿で首を締める	まわたでくびをしめる
木乃伊取りが木乃伊になる	みいらとりがみいらになる
身から出た錆	みからでたさび
水と油	みずとあぶら
味噌を付ける	みそをつける
三日天下	みっかてんか
三日坊主	みっかぼうず
三つ子の魂百まで	みつごのたましいひゃくまで
耳を掩うて鐘を盗む	みみをおおうてかねをぬすむ
六日の菖蒲	むいかのしょうぶ
昔取った杵柄	むかしとったきねづか
矛盾	むじゅん
娘一人に婿八人	むすめひとりにむこはちにん
胸に一物	むねにいちもつ
無理が通れば道理が引っ込む	むりがとおればどうりがひっこむ
目から鼻へ抜ける	めからはなへぬける
目屎鼻屎を笑う	めくそはなくそをわらう
盲蛇に怖じず	めくらへびにおじず
目には目、歯には歯	めにはめ、はにはは
目の上の瘤	めのうえのこぶ
目は口ほどに物を言う	めはくちほどにものをいう
孟母三遷の教え	もうぼさんせんのおしえ
餅は餅屋	もちはもちや
沐猴にして冠す	もっこうにしてかんす
本木に勝る末木なし	もときにまさるうらきなし
元の鞘に納まる	もとのさやにおさまる
元の木阿弥	もとのもくあみ
桃栗三年柿八年	ももくりさんねんかきはちねん
焼け石に水	やけいしにみず
焼け野の雉子夜の鶴	やけののきぎすよるのつる
安物買いの銭失い	やすものがいのぜにうしない
柳に雪折れなし	やなぎにゆきおれなし
柳の下にいるも泥鰌はおらぬ	やなぎのしたにいるもどじょうはおらぬ
藪から棒	やぶからぼう
藪を突突いて蛇を出す	やぶをつついてへびをだす
病膏肓に入る	やまいこうこうにいる
病は気から	やまいはきから
山高きが故に尊からず	やまたかきがゆえにとうとからず
闇夜の鉄砲	やみよのてっぽう
雪と墨	ゆきとすみ
雪に白鷺	ゆきにしらさぎ
油断大敵	ゆだんたいてき
欲に目が眩む	よくにめがくらむ
弱り目に祟り目	よわりめにたたりめ
楽は苦の種、苦は楽の種	らくはくのたね、くはらくのたね
洛陽の紙価を高む	らくようのしかをたかむ
律義者の子沢山	りちぎもののこだくさん
梁上の君子	りょうじょうのくんし
両手に花	りょうてにはな
遼東の豕	りょうとうのいのこ
良薬は口に苦し	りょうやくはくちににがし
類は友を呼ぶ	るいはともをよぶ
例によって例の如し	れいによってれいのごとし
壟断	ろうだん
隴を得て蜀を望む	ろうをえてしょくをのぞむ
論語読みの論語知らず	ろんごよみのろんごしらず
渡りに船	わたりにふね
渡る世間に鬼はない	わたるせけんにおにはない
笑う門には福来たる	わらうかどにはふくきたる
