#️⃣	# かこみすうじ しゃーぷ しゃーぷだいやる
*️⃣	* かこみすうじ
📌	おしぴん がびょう ぴん ぶんぐ ぶんぼうぐ ぷっしゅぴん
📍	おしぴん がびょう ぴん ぶんぐ ぶんぼうぐ ぷっしゅぴん まるいおしぴん
📎	 かみくりっぷ くりっぷ ぜむくりっぷ ぶんぐ ぶんぼうぐ ぺーぱーくりっぷ
📏	 じょうぎ ぶんぐ ぶんぼうぐ ものさし
📐	 さんかくじょうぎ じょうぎ ぶんぐ ぶんぼうぐ
📑	ふせん ぶんぐ ぶんぼうぐ ぺーじにふせん ぺーじまーく まーく
📒	だいちょう のーと ぶんぐ ぶんぼうぐ りんぐのーと
📓	 のーと ぶんぐ ぶんぼうぐ
📔	のーと ひょうしつきのーと ぶんぐ ぶんぼうぐ
📕	しょせき とじたほん ぶんぼうぐ ほん
📖	しょせき ひらいたほん ぶんぼうぐ ほん
📗	しょせき ぶんぼうぐ ほん みどりのほん
📘	あおのほん しょせき ぶんぼうぐ ほん
📙	おれんじのほん しょせき ぶんぼうぐ ほん
📚️	しょせき ぶんぼうぐ ほん ほんのやま
📛	 なふだ ほいくえん ほいくしょ ようちえん
📜	しょるい すくろーる ぶんしょ ぶんぼうぐ まきもの
📝	 えんぴつとめも かみとえんぴつ ぶんぐ ぶんぼうぐ めも
📞	 こき じゅわき でんわ
📟️	 ぺーじゃー ぽけっとべる ぽけべる
📠	fax でんわ ふぁっくす ふくごうき ＦＡＸ
📡	 あんてな えいせいあんてな でんぱ ぱらぼら ぱらぼらあんてな
📢	 かくせいき すぴーかー めがほん
📣	 かくせいき すぴーかー めがほん
📤️	いーめーる そうしん そうしんとれい でんしめーる とれい めーる
📥️	いーめーる じゅしん じゅしんとれい でんしめーる とれい めーる
📦️	こづつみ たくはいびん たっきゅうびん だんぼーる にもつ ぱっく ぱっけーじ
📧	いーめーる てがみ でんしめーる ふうとう めーる ゆうびん Ｅめーる
📨	いーめーる じゅしん じゅしんする じゅしんちゅう でんしめーる めーる めーるじゅしんちゅう
📩	いーめーる そうしん そうしんする でんしめーる めーる めーるじゅしん めーるする
📪️	てがみなし とじた とじたゆうびんうけ はたつきぽすと ぽすと めーる ゆうびん ゆうびんうけ ゆうびんばこ
📫️	てがみあり とじた とじたゆうびんうけ はたつきぽすと ぽすと めーる ゆうびん ゆうびんうけ ゆうびんばこ
📬️	てがみあり ひらいた ひらいたゆうびんうけ ぽすと ゆうびんうけ ゆうびんばこ
📭️	てがみなし ひらいた ひらいたゆうびんうけ ぽすと ゆうびんうけ ゆうびんばこ
📮	 てがみ ぽすと ゆうびん ゆうびんばこ ゆうびんぽすと
📯	ゆうびん ゆうびんらっぱ らっぱ
📰	 しんぶん しんぶんし にゅーす
📱	 けいたい けいたいでんわ すまほ すまーとふぉん
📲	けいたい けいたいじゅしん けいたいでんわ じゅしん すまほ すまーとふぉん ちゃくしんちゅう でんわはっしん
📳	 けいたい けいたいでんわ すまほ すまーとふぉん まなーもーど
📴	けいたい けいたいでんわ けいたいでんわでんげんおふ すまほ すまーとふぉん でんげんおふ
📵	けいたいきんし けいたいでんわきんし すまほきんし すまーとふぉんきんし
📶	あんてなまーく けいたい けいたいでんわ けんない すまほ すまーとふぉん でんぱ
📷️	 かめら しゃしん
📸	かめら かめらふらっしゅ しゃしん ふらっしゅ ふらっしゅをたいているかめら
📹️	 かめら どうが びでお びでおかめら むーびー
📺️	 てれび びでお
📻️	 おんがく じゅしんき ほうそう らじお
📼	VHS どうが びでお びでおかせっと びでおてーぷ
📽️	えいが えいしゃき ぷろじぇくたー むーびー
📿	いのる じゅず ねっくれす ねんじゅ ろざりお
🔀	こうさ しゃっふる しゃっふるぼたん ぼたん やじるし
🔁	くりかえし ぜんきょく ぼたん やじるし りぴーとぼたん
🔂	1きょくりぴーとぼたん くりかえし ぼたん やじるし りぴーと
🔃	くりかえし さいよみこみ とけいまわり みぎまわり みぎまわりたてやじるし やじるし りろーど
🔄	くりかえし はんとけいまわり ひだりまわりやじるし やじるし りぴーと
🔅	あかるさ きど くらい ていきど ぶらいとねす
🔆	あかるい あかるさ きど こうきど ぶらいとねす
🔇	おとなし しょうおん すぴーかー すぴーかーしょうおん みゅーと
🔈️	おんりょう すぴーかー ぼりゅーむ
🔉	おんりょう おんりょうしょう すぴーかー すぴーかーおんりょうしょう ぼりゅーむ
🔊	 おんりょう おんりょうだい すぴーかー すぴーかーおんりょうだい だいおんりょう ぼりゅーむ
🔋	 かんでんち でんち ばってりー
🔌	 こんせんと でんげん ぷらぐ
🔍️	 けんさく むしめがね むしめがねひだり るーぺ
🔎	けんさく しょうさい むしめがね むしめがねみぎ るーぺ
🔏	 かぎ とじたじょうとぺん ぷらいばしー ろっく
🔐	あんぜん かぎ きー せきゅりてぃ とじたじょうとかぎ ろっく ろっくかくにん
🔑	 かぎ きー ぱすわーど
🔒️	かぎ じょう せじょう とじたじょう ろっく ろっくおん
🔓️	かいじょう かぎ じょう ひらいたじょう ろっく ろっくおふ
🔔	かね すず ちゃぺる べる
🔕	おとなし かね しょうおん すず べるしょうおん みゅーと
🔖	 しおり たぐ ふせん ぶっくまーく
🔗	 りんく りんくしんぼる
🔘	 にじゅうまる ぼたん らじおぼたん
🔙	 back backやじるし ばっく もどる やじるし
🔚	 end endやじるし えんど おわり やじるし
🔛	 on onやじるし おん やじるし
🔜	soon soonやじるし すぐ すーん やじるし
🔝	 top topやじるし うえ とっぷ やじるし
🔞	18きん 18さいみまんきんし きんし みせいねん １８きん
🔟	10 かこみすうじ １０
🔠	ABCD あるふぁべっと えいおおもじのにゅうりょく えいじ おおもじ だいもんじ ろーまじ ＡＢＣＤ
🔡	abcd あるふぁべっと えいこもじのにゅうりょく えいじ こもじ ろーまじ ａｂｃｄ
🔢	1234 すうじ すうじのにゅうりょく にゅうりょく １２３４
🔣	〒♪&% 〒♪&ぱーせんと きごう きごうのにゅうりょく にゅうりょく
🔤	あるふぁべっと えいご えいじ えいじのにゅうりょく えいびーしー ろーまじ ＡＢＣ
🔥	 ひ ふぁいあー ふぁいやー ほのお
🔦	あかり かいちゅうでんとう でんとう らいと
🔧	 こうぐ すぱな れんち
🔨	 かなづち こうぐ とんかち はんまー
🔩	 こうぐ なっと ぼると ぼるととなっと
🔪	 ないふ ほうちょう りょうり
🔫	 けんじゅう じゅう ぴすとる ぶき みずでっぽう りぼるばー
🔬	かがく けんきゅう けんびきょう さいえんす
🔭	かがく かんそく さいえんす てんたいかんそく ぼうえんきょう
🔮	 うらない うんめい すいしょう すいしょうだま たま
🔯	 うらない だびで ほし ろくぼうせい ろっかくせい
🔰	しょしんしゃ しょしんしゃまーく はつ わかばまーく
🔱	いかり うみ えんぶれむ とらいでんと みつまた
🔲	くろわくしかく しかく しかくぼたん せいほうけい ぼたん
🔳	しかく しかくぼたん しろわくしかく せいほうけい ぼたん
🔴	あか あかいまる おおきいまる おおまる まる まるいぼたん
🔵	あお あおいまる おおきいまる おおまる まる まるいぼたん
🔶	おおきいおれんじのひしがた おおきいひしがた おれんじ しかく だいあ だいや ひしがた
🔷	あお おおきいあおのひしがた おおきいひしがた しかく だいあ だいや ひしがた
🔸	おれんじ しかく だいあ だいや ちいさいおれんじのひしがた ちいさいひしがた ひしがた
🔹	あお しかく だいあ だいや ちいさいあおのひしがた ちいさいひしがた ひしがた
🔺	あか あかいうえさんかく うえ うえむきさんかく さんかく
🔻	あか あかいしたさんかく さんかく した したむきさんかく
🔼	うえ うえぼたん うえむきさんかく さんかく ぼたん やじるし
🔽	さんかく した したぼたん したむきさんかく ぼたん やじるし
🕉️	おーむ しゅうきょう ひんどぅーきょう
🕊️	とり どうぶつ はと へいわ
🕋	いすらむきょう かーば しゅうきょう せいち たてもの めっか
🕌	いすらむきょう しゅうきょう たてもの もすく
🕍	しなごーぐ しゅうきょう たてもの ゆだやきょう
🕎	しゅうきょう しょくだい めのらー めのーらー ゆだやきょう
🕐️	1:00 1じ いちじ とけい １じ
🕑️	2:00 2じ とけい にじ ２じ
🕒️	3:00 3じ さんじ とけい ３じ
🕓️	4:00 4じ とけい よじ ４じ
🕔️	5:00 5じ ごじ とけい ５じ
🕕️	6:00 6じ とけい ろくじ ６じ
🕖️	7:00 7じ しちじ とけい ななじ ７じ
🕗️	8:00 8じ とけい はちじ ８じ
🕘️	9:00 9じ くじ とけい ９じ
🕙️	10:00 10じ じゅうじ とけい めざまし １０じ
🕚️	11:00 11じ じゅういちじ とけい １１じ
🕛️	12:00 12じ しょうご じゅうにじ とけい １２じ
🕜️	1:30 1じはん とけい
🕝️	2:30 2じはん とけい
🕞️	3:30 3じはん とけい
🕟️	4:30 4じはん とけい
🕠️	5:30 5じはん とけい
🕡️	6:30 6じはん とけい
🕢️	7:30 7じはん とけい
🕣️	8:30 8じはん とけい
🕤️	9:30 9じはん とけい
🕥️	10:30 10じはん とけい
🕦️	11:30 11じはん とけい
🕧️	12:30 12じはん とけい
🕯️	あかり きゃんどる ろうそく
🕰️	おきどけい とけい まんてるくろっく
🕳️	あな
🕴️	ういてるびじねすまん おとこ くうちゅうふゆう すーつ だんせい びじねすまん
🕵️	すぱい たんてい むしめがね
🕵️‍♀️	おんな じょせい じょせいのたんてい たんてい むしめがね
🕵️‍♂️	おとこ たんてい だんせい だんせいのたんてい むしめがね
🕶️	さんぐらす めがね
🕷️	くも すぱいだー むし
🕸️	くも くものす
🕹️	げーむ こんとろーら じょいすてぃっく すてぃっく てれびげーむ
🕺	おとこ おどるおとこ だんさー だんす だんせい
🖇️	かみくりっぷ つながったくりっぷ ぶんぐ ぶんぼうぐ ぺーぱーくりっぷ
🖊️	ぶんぐ ぶんぼうぐ ぺん ぼーるぺん
🖋️	ぶんぐ ぶんぼうぐ まんねんひつ
🖌️	えのぐ えふで ぶんぐ ぶんぼうぐ
🖍️	くれよん ぶんぐ ぶんぼうぐ
🖐️	て ぱー ひらいたて
🖕	うえ たてたなかゆび て なかゆび ゆびさし
🖖	すぽっく て ばるかんじん ばるかんのあいさつ
🖤	くろいはーと はーと
🖥️	pc こんぴゅーたー ですくとっぷ ですくとっぷぱそこん ぱそこん
🖨️	いんさつき こぴーき ふくごうき ぷりんた ぷりんたー
🖱️	pc こんぴゅーたー ぱそこん まうす
🖲️	pc こんぴゅーたー とらっくぼーる ぱそこん
🖼️	え かいが げいじゅつ びじゅつかん
🗂️	いんでっくす かーどふぉるだー ふぉるだー ぶんぐ ぶんぼうぐ
🗃️	かーどふぁいるぼっくす はこ ふぁいる ぶんぐ ぶんぼうぐ ぼっくす
🗄️	きゃびねっと ひきだし ふぁいる ふぁいるきゃびねっと
🗑️	くずかご ごみかご ごみばこ
🗒️	のーと ぶんぐ ぶんぼうぐ めもちょう りんぐめも
🗓️	かれんだー すけじゅーる つきめくりかれんだー ひづけ よてい
🗜️	くらんぷ こうぐ ばいす まんりき
🗝️	きー てがかり ぱすわーど ふるいかぎ
🗞️	しんぶん しんぶんし にゅーす まるめたしんぶん
🗡️	たんとう だがー ないふ ぶき
🗣️	かお しるえっと はなす はなすひとのしるえっと
🗨️	かいわ せりふ ふきだし ふきだしひだり
🗯️	いかりのふきだし ふきだし
🗳️	せんきょ とうひょうばこ
🗺️	せかい せかいちず ちず
🗻	 ふじさん やま
🗼	 たわー とうきょう とうきょうたわー
🗽	あめりか じゆうのめがみ ちょうぞう にゅーよーく めがみ
🗾	 ちず にほん にほんちず
🗿	 かお ぞう もあい もやい
😀	えがお かお すまいる にっこり にっこりわらう わらう
😁	えがお かお すまいる にやっとわらう わらい わらう
😂	うれしなき えがお かお すまいる なみだ わらい わらう
😃	 えがお かお すまいる わーい
😄	 えがお かお すまいる わーい
😅	あせ えがお かお すまいる ひやあせ ひやあせえがお わーい
😆	 うれしい えがお かお きゃー すまいる まんぞく
😇	えがお かお すまいる てんしのわ てんしのわがついたえがお
😈	あくま えがお かお すまいる でびる わらったあくま
😉	 うぃんく ういんく かお
😊	えがお かお すまいる にこにこ ほほえみ ほほをあからめる めをほそめる
😋	うまい えがお おいしい かお すまいる にこにこ にこにこぺろり
😌	 あんしん かお ほっ ほっとしたかお
😍	 えがお かお すまいる はーと めがはーとのえがお らぶ
😎	えがお かお くーる さんぐらすでえがお すまいる
😏	 うすわらいをするかお かお にやり ふっ
😐️	かお ぽーかーふぇいす むひょうじょう
😑	かお むかんじょう むひょうじょう
😒	 かお しらけ しらけた しらける じとめ
😓	あせ かお きもをひやした ひやあせ
😔	 かお しょぼーん しょんぼり
😕	かお こんらん こんわく
😖	 かお こんらん こんわく こんわくしたかお
😗	かお きす ちゅっ
😘	 かお きす ちゅっ なげきっす はーと
😙	えがお かお きす すまいる ちゅっ にっこりきす
😚	 かお きす ちゅっ めをとじる
😛	かお した したをだしたかお べろ べー
😜	 あっかんべー かお した じょうだん じょーく べー
😝	 かお した べろ べー めをとじてべー わーい
😞	 かお がっかり がっくり しつぼうしたかお
😟	かお しんぱい なやむかお
😠	 いかり かお ぷんぷん
😡	いかり かお かんかん げきど ふくれっつら ぷんぷん
😢	 かお かなしい なきがお なく なみだ
😣	 かお がまん
😤	 かお かちほこったかお とくいげ はないき ふんっ
😥	 あせ かお こまった どうしよう
😦	あきれがお かお しかめがお しかめつら ふほんい ふまん
😧	かお くのう くもん
😨	 あおざめ かお がーん
😩	 あきらめ かお つかれ
😪	 かお ねむい ねむる ねる
😫	 かお げんかい つかれ つかれた
😬	いー かお しかめがお しかめっつら しかめつら
😭	 おおなき かお かなしい ごうきゅう なく なみだ
😮	かお きょうかん くちがひらいたかお へー
😮‍💨	あきらめ あんしん いきをはくかお かお ためいき ほっとした
😯	おどろき かお びっくり びっくりがお ぽかーん
😰	 あおざめ かお ひやあせ ひやあせあおざめ
😱	 かお がーん きょうふ さけび しょっく
😲	 おどろき かお きょうがく びっくり びっくりしたかお
😳	 あかくなる かお せきめん
😴	zzz かお ねむい ねむる ねる
😵	 かお ふらふら めまい
😵‍💫	うずまき ふらふら めがぐるぐる めがまわる めまい めをまわしたかお
😶	かお くちなし くちのないかお だんまり ちんもく
😶‍🌫️	うわのそら かお くものなかのかお ほうしんじょうたい ぼんやり むちゅう
😷	かお かぜ かふんしょう びょうき ますく ますくがお
😸	 えがお かお すまいる にやっとわらうねこ ねこ わらう
😹	 うれしなきするねこ えがお かお すまいる なみだ ねこ
😺	 えがお かお すまいる にっこりわらうねこ ねこ
😻	 えがお かお すまいる ねこ はーと めがはーとのねこ
😼	 かお にやり にやりとするねこ ねこ ふっ
😽	 かお きす ちゅっ ねこ ねこのきす
😾	 かお ねこ ふきげん ふきげんなねこ ぷんぷん
😿	 かお かなしい ないているねこ なみだ ねこ
🙀	 かお がーん しょっく ぜつぼうするねこ ねこ びっくり
🙁	かお こまった しかめつら すこしこまった すこしこまったかお
🙂	えがお かお すまいる ほほえみ ほほえむ
🙂‍↔️	いいえ ううん かお くびをふる くびをよこにふる ふさんせい
🙂‍↕️	うなずく うん うんうん かお くびをたてにふる くびをふる はい
🙃	かお さかさま さかさまのかお
🙄	うえをみるかお うわめ かお
🙅	ng えぬじー じぇすちゃー だめ だめのぽーずをするひと ばつ ひと
🙅‍♀️	ng えぬじー おんな じぇすちゃー じょせい だめのぽーずをするおんな ばつ
🙅‍♂️	ng えぬじー おとこ じぇすちゃー だめのぽーずをするおとこ だんせい ばつ
🙆	ok おーけー おーけーのぽーずをするひと じぇすちゃー ひと まる ＯＫ
🙆‍♀️	ok おっけー おーけー おーけーのぽーずをするおんな じぇすちゃー じょせい まる
🙆‍♂️	ok おっけー おーけー おーけーのぽーずをするおとこ じぇすちゃー だんせい まる
🙇	 おじぎ おじぎするひと ごめんなさい どげざ
🙇‍♀️	おじぎ おじぎするおんな おんな ごめんなさい じょせい どげざ
🙇‍♂️	おじぎ おじぎするおとこ おとこ ごめんなさい だんせい どげざ
🙈	 さる さんざる みざる
🙉	 きかざる さる さんざる
🙊	 いわざる さる さんざる
🙋	 きょしゅ てをあげる てをあげるじん ひと
🙋‍♀️	おんな きょしゅ じょせい てをあげる てをあげるおんな
🙋‍♂️	おとこ きょしゅ だんせい てをあげる てをあげるおとこ
🙌	 て てをあげる ばんざい りょうて
🙍	きゃらくたー しかめがお しかめっつら しかめつら しかめつらのひと
🙍‍♀️	おんな しかめがお しかめっつら しかめつらのおんな じょせい
🙍‍♂️	おとこ しかめがお しかめっつら しかめつらのおとこ だんせい
🙎	きゃらくたー ひと ふきげん ふきげんなひと ぷんぷん
🙎‍♀️	おんな じょせい ふきげん ふきげんなおんな ぷんぷん
🙎‍♂️	おとこ だんせい ふきげん ふきげんなおとこ ぷんぷん
🙏	いのり おねがい がっしょう ごめんなさい りょうて
🚀	 うちゅう のりもの ろけっと
🚁	のりもの へり へりこぷたー
🚂	sl えすえる じょうききかんしゃ のりもの れっしゃ
🚃	 でんしゃ のりもの れっしゃ
🚄	 しんかんせん でんしゃ のりもの
🚅	0けい しんかんせん ぜろけいしんかんせん でんしゃ のぞみ のりもの まるいしんかんせん
🚆	でんしゃ でんしゃしょうめん のりもの れっしゃ
🚇️	 ちかてつ でんしゃ のりもの めとろ
🚈	でんしゃ のりもの らいとれーる
🚉	えき でんしゃ のりもの ふみきり れっしゃ
🚊	でんしゃ のりもの ろめんでんしゃ ろめんでんしゃしょうめん
🚋	でんしゃ のりもの ろめんでんしゃ
🚌	 のりもの ばす
🚍️	のりもの ばす ばすしょうめん
🚎	とろりーばす のりもの ばす
🚏	 のりもの ばすてい ばすのりば
🚐	のりもの ばす まいくろばす
🚑️	 きゅうきゅうしゃ のりもの
🚒	 しょうぼうしゃ のりもの
🚓	 けいさつ のりもの ぱとかー
🚔️	けいさつ のりもの ぱとかー ぱとかーしょうめん
🚕	 たくしー のりもの
🚖	たくしー たくしーしょうめん のりもの
🚗	 くるま じどうしゃ のりもの
🚘️	くるま じどうしゃ じどうしゃしょうめん のりもの
🚙	rv suv suvくるま あーるぶいしゃ くるま じどうしゃ のりもの
🚚	 くるま とらっく のりもの はいたつ
🚛	くるま とらっく とれーらー のりもの
🚜	くるま とらくたー のりもの
🚝	でんしゃ のりもの ものれーる
🚞	でんしゃ とざんてつどう とざんでんしゃ のりもの
🚟	けんすいしきものれーる でんしゃ のりもの ものれーる
🚠	けーぶるかー ごんどら のりもの
🚡	ごんどら のりもの ろーぷうぇい
🚢	 のりもの ふね
🚣	かぬー かやっく すぽーつ のりもの ふね ぼーとをこぐひと
🚣‍♀️	かぬー かやっく じょせい すぽーつ ふね ぼーとをこぐおんな
🚣‍♂️	かぬー かやっく すぽーつ だんせい ふね ぼーとをこぐおとこ
🚤	 すぴーどぼーと のりもの ふね ぼーと
🚥	 しんごう しんごうき しんごうよこ
🚦	しんごう しんごうき しんごうたて
🚧	 こうじちゅう さいん つうこうどめ
🚨	 ぱとかー ぱとらんぷ
🚩	 ごるふ さんかくのはた すぽーつ はた ふらぐ ふらっぐ
🚪	 と とびら どあ
🚫	 きせい きんし しゃりょうつうこうどめ どうろ ひょうしき
🚬	 きつえん たばこ
🚭️	 きんえん きんし たばこ
🚮	くずかご ごみすて ごみばこ
🚯	きんし ごみ ごみすてきんし ぽいすてきんし
🚰	いんりょうすい すいどう のみみず みず
🚱	いんようふか きんし のめないみず
🚲️	 じてんしゃ のりもの
🚳	きせい きんし じてんしゃ じてんしゃきんし どうろ ひょうしき
🚴	けいりん さいくりんぐ じてんしゃにのるじん すぽーつ ろーどばいく ろーどれーす
🚴‍♀️	けいりん さいくりんぐ じてんしゃにのるおんな じょせい すぽーつ ろーどれーす
🚴‍♂️	けいりん さいくりんぐ じてんしゃにのるおとこ すぽーつ だんせい ろーどれーす
🚵	さいくりんぐ じてんしゃ すぽーつ まうんてんばいく まうんてんばいくにのるひと
🚵‍♀️	おんな さいくりんぐ じてんしゃ じょせい すぽーつ まうんてんばいくにのるおんな
🚵‍♂️	おとこ さいくりんぐ じてんしゃ すぽーつ だんせい まうんてんばいくにのるおとこ
🚶	 あるくひと うぉーきんぐ ほこう ほこうしゃ
🚶‍♀️	あるくおんな うぉーきんぐ じょせい ほこう ほこうしゃ
🚶‍♀️‍➡️	あるくおんな うぉーきんぐ じょせい ほこう ほこうしゃ
🚶‍♂️	あるくおとこ うぉーきんぐ だんせい ほこう ほこうしゃ
🚶‍♂️‍➡️	あるくおとこ うぉーきんぐ だんせい ほこう ほこうしゃ
🚶‍➡️	あるくひと うぉーきんぐ ほこう ほこうしゃ
🚷	きせい きんし どうろ ひょうしき ほこうしゃたちいりきんし
🚸	がっこう、ようちえん、ほいくしょとうあり こども じどうおうだん つうがくろ ひょうしき
🚹️	WC おてあらい けしょうしつ だんし だんしといれ だんせい といれ
🚺️	WC おてあらい けしょうしつ じょし じょしといれ じょせい といれ
🚻	 WC おてあらい けしょうしつ といれ
🚼️	 あかちゃん あかんぼう べびー べびーしーと
🚽	 おてあらい といれ べんき べんざ
🚾	 WC おてあらい けしょうしつ といれ
🚿	しゃわー ふろ
🛀	 ばすたぶ ふろ ふろにはいるじん よくそう
🛁	ばすたぶ ふろ よくそう
🛂	しゅつにゅうこく しゅつにゅうこくしんさ にゅうしゅっこく ぱすぽーとこんとろーる
🛃	ぜいかん つうかん
🛄	すーつけーす てにもつ てにもつうけとり ばげっじくれーむ
🛅	すーつけーす てにもつ てにもつあずかり ろっかー
🛋️	そふぁ そふぁとらんぷ ほてる らんぷ
🛌	ねる べっど べっどにねるひと ほてる
🛍️	かみてさげ かみぶくろ しょっぴんぐばっぐ ばっぐ
🛎️	べる べるぼーいべる ほてる
🛏️	すいみん ねる べっど ほてる
🛐	いのり しゅうきょう れいはいじょ
🛑	すとっぷ とまれ とまれのひょうしき ひょうしき
🛒	かいもの かーと しょっぴんぐ しょっぴんぐかーと すーぱー
🛕	しゅうきょう たてもの てら ひんずーきょう ひんどぅーきょうのじいん
🛖	こや ばんがろー ゆると わらぶきこや
🛗	あくせしびりてぃ えれべーたー しょうこうき ばりあふりー りふと
🛜	いんたーねっと すまほ でんぱ ねっとわーく ぱそこん わいふぁい
🛝	こうえん すべりだい ゆうぐ
🛞	しゃりん すぽーく たいや ほいーる
🛟	あんぜん うきわ きゅうめいぐ きゅうめいふかん らいふせーばー れすきゅー
🛠️	かなづち こうぐ とんかち はんまーとれんち れんち
🛡️	しーるど たて ぼうぐ
🛢️	せきゆ どらむかん
🛣️	こうそく こうそくどうろ どうろ
🛤️	せんろ てつどう
🛥️	のりもの ふね ぼーと もーたーぼーと
🛩️	こがたき こがたひこうき のりもの ひこうき
🛫	のりもの ひこうき ひこうきりりく りりく
🛬	ちゃくりく のりもの ひこうき ひこうきちゃくりく
🛰️	うちゅう じんこうえいせい
🛳️	きゃくせん のりもの ふね りょかくせん
🛴	きっくすくーたー きっくすけーたー きっくぼーど
🛵	げんつき すくーたー
🛶	かぬー かやっく のりもの ふね ぼーと
🛷	すけるとん すぽーつ そり そりきょうぎ ぼぶすれー りゅーじゅ
🛸	ufo うちゅう そらとぶえんばん のりもの ゆーふぉー
🛹	すけぼー すけーとぼーど ぼーど
🛺	おーとりくしゃー さんりんたくしー たくしー とぅくとぅく りくしゃー
🛻	くるま けいとらっく とらっく のりもの はいたつ ぴっくあっぷとらっく
🛼	すけーと すぽーつ ろーらーすけーと
🟠	おれんじ おれんじのまる まる まるいぼたん
🟡	きいろ きいろいまる まる まるいぼたん
🟢	まる まるいぼたん みどり みどりのまる
🟣	まる まるいぼたん むらさき むらさきのまる
🟤	ちゃいろ ちゃいろのまる まる まるいぼたん
🟥	あか あかいしかく しかく せいほうけい
🟦	あお あおいしかく しかく せいほうけい
🟧	おれんじ おれんじのしかく しかく せいほうけい
🟨	きいろ きいろいしかく しかく せいほうけい
🟩	しかく せいほうけい みどり みどりのしかく
🟪	しかく せいほうけい むらさき むらさきのしかく
🟫	しかく せいほうけい ちゃいろ ちゃいろいしかく
🟰	いこーる すうがく とうごう ひとしい ふとじのとうごう
🤌	うわむきにすぼめたて じぇすちゃー すぼめる て ゆび
🤍	しろいはーと はーと
🤎	ちゃいろいはーと はーと
🤏	すこしだけ ちょっと つまんでいるゆび て ゆび
🤐	かお くち くちちゃっく ちゃっく
🤑	おかねのかお かお した べろ べー
🤒	かお かぜ たいおんけい ねつがあるかお ねつをはかる びょうき
🤓	おたく かお まにあ めがね
🤔	うーん かお かんがえちゅう かんがえる かんがえるかお
🤕	かお けが けがしてるかお ほうたい ほうたいをまいたかお
🤖	かお ろぼっと
🤗	えがお かお すまいる はぐ
🤘	きつね つののゆびさいん て
🤙	て でんわ でんわのあいず でんわのじぇすちゃー
🤚	て てのこう
🤛	こぶし て ぱんち ひだり ひだりむきのこぶし
🤜	こぶし て ぱんち みぎ みぎむきのこぶし
🤝	あくしゅ ごうい て よろしく
🤞	て ゆび ゆびをくろす
🤟	あいしてる あいらぶゆー て
🤠	かうがーる かうぼーい かうぼーいのかお かお
🤡	かお ぴえろ ぴえろのかお
🤢	かお きもちわるい ぐあいのわるいかお はきけをもよおしているかお びょうき
🤣	えがお かお すまいる わらいころげる わらう
🤤	かお よだれ よだれをたらしたかお
🤥	うそつき うそつきのかお かお ぴのきおのかお
🤦	あちゃー じぇすちゃー ひたいにて ひたいにてをあてるひと
🤦‍♀️	あちゃー おんな じぇすちゃー じょせい ひたいにて ひたいにてをあてるおんな
🤦‍♂️	あちゃー おとこ じぇすちゃー だんせい ひたいにて ひたいにてをあてるおとこ
🤧	かお かぜ かふんしょう くしゃみ くしゃみするかお
🤨	うたがい おどろき かお まゆをあげたかお
🤩	えがお かお すまいる ほし めがほしのえがお
🤪	おかしい かお じょーく ふざけ ふざけたかお
🤫	かお しずかに しっ しー しーっ
🤬	いかり かお ののしり ののしる
🤭	えがお かお くすくす くちにてをあてたかお すまいる ないしょ
🤮	おうとするかお かお きもちわるい げろ びょうき
🤯	あたまばくはつ おどろき かお しょっく ばくはつ ぼんっ
🤰	おんな じょせい にんしん にんぷ
🤱	あかちゃん おんな じゅにゅう じょせい みるく
🤲	いのり て てのひらをそろえたりょうて りょうて
🤳	じどり じぶんどり すまほ せるふぃー
🤴	おうじ おとこ だんせい ぷりんす
🤵	けっこん たきしーど たきしーどのひと はなむこ
🤵‍♀️	おんな じょせい たきしーど たきしーどのおんな たきしーどのじょせい
🤵‍♂️	おとこ たきしーど たきしーどのおとこ たきしーどのだんせい だんせい
🤶	おんな くりすます さんたくろーす じょせい じょせいのさんた
🤷	おてあげ おてあげするひと じぇすちゃー
🤷‍♀️	おてあげ おてあげするおんな おんな じぇすちゃー じょせい
🤷‍♂️	おてあげ おてあげするおとこ おとこ じぇすちゃー だんせい
🤸	すぽーつ そくてん そくてんするひと たいそう
🤸‍♀️	おんな じょせい すぽーつ そくてん そくてんするおんな たいそう
🤸‍♂️	おとこ すぽーつ そくてん そくてんするおとこ たいそう だんせい
🤹	じゃぐらー じゃぐりんぐ じゃぐりんぐをするひと だいどうげい
🤹‍♀️	おんな じゃぐらー じゃぐりんぐ じゃぐりんぐをするおんな じょせい だいどうげい
🤹‍♂️	おとこ じゃぐらー じゃぐりんぐ じゃぐりんぐをするおとこ だいどうげい だんせい
🤺	すぽーつ ふぇんしんぐ ふぇんしんぐをするひと
🤼	すぽーつ れすらー れすりんぐ れすりんぐするひと れすりんぐをするひと
🤼‍♀️	おんな じょせい すぽーつ れすりんぐ れすりんぐするおんな れすりんぐをするおんな
🤼‍♂️	おとこ すぽーつ だんせい れすりんぐ れすりんぐするおとこ れすりんぐをするおとこ
🤽	きゅうぎ すいきゅう すいきゅうをするひと すぽーつ
🤽‍♀️	おんな きゅうぎ じょせい すいきゅう すいきゅうをするおんな すぽーつ
🤽‍♂️	おとこ きゅうぎ すいきゅう すいきゅうをするおとこ すぽーつ だんせい
